resource type	catalogue_item_reference 	resource_fullname 	resource_shortname 	date_of_availability 	resource_short_description 	languages_resource 	member academic research 	member commercial research 	member academic commercial 	member commercial commercial 	member academic evaluation 	member commercial evaluation 	non_member academic research 	non_member commercial research 	non_member academic commercial 	non_member commercial commercial 	non_member academic evaluation 	non_member commercial evaluation 	special_price 
Written corpora	W0012	Tagged text in French (MEMODATA)		1/23/97	"More than 170 books (classical novels, legal texts...) are tagged without rules of morphological disambiguation. A tagged corpus of 50 books is available for research. It consists of several authors of the 19th century (Balzac, Hugo, Stendhal). See also W0011."	French	2461.00 EUR	3077.00 EUR	3077.00 EUR	3077.00 EUR	NULL	NULL	3077.00 EUR	3846.00 EUR	3846.00 EUR	3846.00 EUR	NULL	NULL	No_special_price
Written corpora	W0014	Monolingual Greek corpus		2/17/97	Corpus of 1 million words consisting of articles written in 1996 from the Greek daily newspaper ELEFTHEROTIPIA.	"Greek, Modern (1453-)"	360.00 EUR	360.00 EUR	NULL	NULL	NULL	NULL	600.00 EUR	600.00 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0015	"Text corpus of Le Monde"""""		9/15/97	"Corpus from Le Monde"" newspaper. Each year contains some 10 Mbytes of data per month (circa 120 Mbytes per year). Data ranging from 1987 until 2006 are available."""	French	240.91 EUR	240.91 EUR	NULL	NULL	NULL	NULL	313.18 EUR	313.18 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0019	Dutch PAROLE Distributable Corpus		7/12/99	"This Dutch corpus is a 3 million words selection built according to the specifications of the PAROLE project. Over 250,000 words of corpus texts (with TEI markup suppressed) have been PoS-tagged automatically.  A total of 59,798 running words has been manually corrected and checked"	"Dutch, Flemish"	270.00 EUR	800.00 EUR	1600.00 EUR	1600.00 EUR	NULL	NULL	300.00 EUR	1300.00 EUR	2500.00 EUR	2500.00 EUR	NULL	NULL	Special_price_available
Written corpora	W0020	PAROLE French Corpus		3/6/00	"The PAROLE French corpus contains the following data: Miscellaneous: Data provided by ELRA (CRATER, MLCC Multilingual and Parallel Corpora)	2 025 964 words Books: CNRS Editions	3 267 409 words Periodicals: CNRS Info, Herm_s	942 963 words Newspapers: Le Monde,  provided by ELRA	13 856 763 words Total	20 093 099 words"	French	1540.00 EUR	1540.00 EUR	NULL	NULL	NULL	NULL	4300.00 EUR	4300.00 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0022	ILSP/ELEFTHEROTYPIA Corpus (Greek corpus)		3/9/00	"This corpus contains approximately 3 million words from the daily newspaper ELEFTHEROTYPIA, classified and annotated accordingly to the common core PAROLE encoding standard. The format of the corpus is SGML files. A subset of the corpus (250,000 words) is morpho-syntactically tagged; all the words are also lemmatised and checked."	"Greek, Modern (1453-)"	850.00 EUR	850.00 EUR	NULL	NULL	NULL	NULL	1275.00 EUR	1275.00 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0023	MLCC Multilingual and Parallel Corpora	(MLCC)	9/1/96	"The first set contains articles from 6 European newspapers: Het Financieele Dagblad (Dutch, 8.5 million words), The Financial Times (English, 30 million words), Le Monde (French, 10 million words), Handelsblatt (German, 33 million words), Il sole 24 Ore (Italian, 1.88 million words), Expansion (Spanish, 10 million words). The second set consists of a parallel corpus of translated data in the nine European official languages (1992-1994) divided into 2 sub-corpora: written questions (10.2 million words) and parliamentary debates (5 to 8 million words per language)."	"Dutch, Flemish - English - German - French - Italian - Spanish, Castilian -  - Danish - Greek, Modern (1453-) - "	450.00 EUR	1600.00 EUR	NULL	NULL	NULL	NULL	1200.00 EUR	3600.00 EUR	NULL	NULL	NULL	NULL	No_special_price
Written corpora	W0024-01	PAROLE Portuguese Corpus - complete version		5/19/00	"The parole Portuguese corpus contains approximately 3 million running words of European Portuguese distributed by Medium (Newspaper, Book, Periodical, Miscellaneous).  The corpus was classified and encoded according to the common core parole encoding standard. The file format of this corpus is SGML.  Also availabe, a subcorpus consists of about 250,000 words morpho-syntactically tagged. Disambiguation was manually checked."	Portuguese	875.00 EUR	1575.00 EUR	2450.00 EUR	2450.00 EUR	NULL	NULL	1250.00 EUR	2250.00 EUR	3500.00 EUR	3500.00 EUR	NULL	NULL	No_special_price
Written corpora	W0024-02	PAROLE Portuguese Corpus - tagged subset		5/19/00	"The parole Portuguese corpus contains approximately 3 million running words of European Portuguese distributed by Medium (Newspaper, Book, Periodical, Miscellaneous).  The corpus was classified and encoded according to the common core parole encoding standard. The file format of this corpus is SGML.  Also availabe, a subcorpus consists of about 250,000 words morpho-syntactically tagged. Disambiguation was manually checked."	Portuguese	525.00 EUR	875.00 EUR	1750.00 EUR	1750.00 EUR	NULL	NULL	750.00 EUR	1250.00 EUR	2500.00 EUR	2500.00 EUR	NULL	NULL	No_special_price
Written corpora	W0027	An-Nahar Newspaper Text Corpus		7/25/01	The An-Nahar Newspaper Text Corpus comprises articles in Arabic (Lebanon) from 1995 to 2000 (6 years) stored as HTML files onCDRommedia. Each yearcontains 45000 articles and 24 million words.	Arabic (Lebanon)	336.00 EUR	672.00 EUR	NULL	NULL	NULL	NULL	504.00 EUR	1008.00 EUR	NULL	NULL	NULL	NULL	Special_price_available
Written corpora	W0028	Wolverhampton Business English Corpus		8/14/01	"Produced by the Computational Linguistics Group at University of Wolverhampton through a funding from ELRA in the framework of the European Commision project LRsP&P (Language Resources Production & Packaging - LE4-8335), the Business English Corpus consists of 10.186.259 words collected from 23 different Web sites related to business."	English	750.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	3000.00 EUR	10000.00 EUR	10000.00 EUR	10000.00 EUR	NULL	NULL	No_special_price
Written corpora	W0030	Al-Hayat Arabic Corpus		1/15/02	"The corpus contains articles extracted from the newspeper Al-Hayat, organised in 7 domains, for language engineering applications developement."	Arabic	480.00 EUR	960.00 EUR	960.00 EUR	960.00 EUR	NULL	NULL	720.00 EUR	1440.00 EUR	1440.00 EUR	1440.00 EUR	NULL	NULL	No_special_price
