resource type	catalogue_item_reference 	resource_fullname 	resource_shortname 	date_of_availability 	resource_short_description 	languages_resource 	member academic research 	member commercial research 	member academic commercial 	member commercial commercial 	member academic evaluation 	member commercial evaluation 	non_member academic research 	non_member commercial research 	non_member academic commercial 	non_member commercial commercial 	non_member academic evaluation 	non_member commercial evaluation 	special_price 
Desktop/microphone	S0198	GlobalPhone German		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	German	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0199	GlobalPhone Japanese		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Japanese	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0200	GlobalPhone Korean		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Korean	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0201	GlobalPhone Portuguese (Brazilian)		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Portuguese (Brazil)	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0202	GlobalPhone Russian		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Russian	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0203	GlobalPhone Spanish (Latin American)		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	"Spanish, Castilian"	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0204	GlobalPhone Swedish		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Swedish	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0205	GlobalPhone Tamil		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Tamil	100.00 EUR	500.00 EUR	500.00 EUR	500.00 EUR	NULL	NULL	125.00 EUR	600.00 EUR	600.00 EUR	600.00 EUR	NULL	NULL	Special_price_available
Desktop/microphone	S0206	GlobalPhone Turkish		1/30/06	"The GlobalPhone corpus provides transcribed speech data for the development and evaluation of large vocabulary continuous speech recognition systems. To date, the GlobalPhone corpus covers 15 languages Arabic (Modern Standard Arabic), Chinese-Mandarin, Chinese-Shanghai, Croatian, Czech, French, German, Japanese, Korean, Portuguese (Brazilian), Russian, Spanish (Latin American), Swedish, Tamil, and Turkish. The written language contains large orthographic variations, such as phonologic scripts, and ideographic scripts. The data acquisition was performed in countries where the language is officially spoken. In each language about 100 adult native speakers were asked to read 100 sentences. The read texts were selected from national newspaper articles available from the web. The articles report national and international political news, as well as economic news mostly from the years 1995-1998."	Turkish	600.00 EUR	3000.00 EUR	3000.00 EUR	3000.00 EUR	NULL	NULL	700.00 EUR	3600.00 EUR	3600.00 EUR	3600.00 EUR	NULL	NULL	Special_price_available
Broadcast resources	S0219	NEMLAR Broadcast News Speech Corpus		8/11/06	"The Nemlar Broadcast News Speech Corpus consists of about 40 hours of Standard Arabic news broadcasts. The broadcasts were recorded from four different radio stations: Medi1, Radio Orient, RMC û Radio Monte Carlo, RTM û Radio Television Maroc. All files were recorded in linear PCM format, 16 kHz, 16 bit."	Arabic	150.00 EUR	500.00 EUR	2000.00 EUR	2000.00 EUR	NULL	NULL	300.00 EUR	1000.00 EUR	4000.00 EUR	4000.00 EUR	NULL	NULL	Special_price_available
